feature,importance
chroma_stft_mean,0.05470399125522289
mfcc_delta2_std,0.049235647476535103
spectral_contrast_std,0.04216402070008434
mel_spec_mean,0.03976693945516113
mfcc_delta_std,0.03969214788027651
spectral_centroid_std,0.03795669097785427
spectral_bandwidth_mean,0.037877386067333395
rms_mean,0.03786719545033613
mel_spec_std,0.03771563608886011
rms_std,0.03748021714463783
spectral_flatness_std,0.037335772891567635
chroma_stft_std,0.036878244887700855
tonnetz_std,0.03587764482350227
mfcc_mean,0.03547404282117965
spectral_rolloff_std,0.030507716887172975
tempogram_mean,0.028524954948570026
spectral_contrast_mean,0.028123258351530844
spectral_flatness_mean,0.027881653499131985
mfcc_std,0.027360509198623692
chroma_vqt_mean,0.026921515021846244
chroma_cqt_mean,0.02683124497817889
spectral_rolloff_mean,0.02662193058562633
tempogram_std,0.02582411136409119
spectral_centroid_mean,0.02329850899190132
zero_crossing_rate_std,0.022783713744936186
zero_crossing_rate_mean,0.021883505207777404
spectral_bandwidth_std,0.019823238459931405
chroma_cqt_std,0.019782793640607102
chroma_vqt_std,0.019749460699577618
tonnetz_mean,0.016804902179107115
tempo,0.016763862395493805
mfcc_delta_mean,0.015636211552381537
mfcc_delta2_mean,0.01485133037326221
